time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
1.536,,,,,,,,,,,,,,,,,,,,,0x60a,"[64, 4, 32, 6, 0, 0, 0, 0]",,,,,,
1.541,,,,,,,,,,,,,,,,,,,,,0x60d,"[64, 4, 32, 6, 0, 0, 0, 0]",,,,,,
1.543,,,,,,,,,,,,,,,,,,,,,0x18b,"[3, 0, 128, 5, 0, 0, 1, 0]",,,,,,
1.545,,,,,,,,,,,,,,,,,,,,,0x70b,[5],,,,,,
1.548,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 165, 236, 0, 0, 0, 0]",,,,,,
1.550,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.552,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.556,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.563,,,,,,,,,,,,,,,,,,,,,0x23a,"[178, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.565,,,,,,,,,,,,,,,,,,,,,0x701,[5],,,,,,
1.585,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.592,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.594,,,,,,,,,,,,,,,,,,,,,0x18ef7200,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,
1.597,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 168, 236, 0, 0, 0, 0]",,,,,,
1.602,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.604,,,,,,,,,,,,,,,,,,,,,0x18c,"[3, 0, 141, 5, 0, 0, 4, 0]",,,,,,
1.606,,,,,,,,,,,,,,,,,,,,,0x18d,"[3, 0, 128, 5, 0, 0, 0, 0]",,,,,,
1.608,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.610,,,,,,,,,,,,,,,,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 41]",,,,,,
1.616,,,,,,,,,,,,,,,,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.618,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.621,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.623,,,,,,,,,,,,,,,,,,,,,0x0,"[128, 17]",,,,,,
1.625,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.628,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.629,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
